ticket_id,text,category
TKT-1104,Can I customize the dashboard layout?,general
TKT-1105,I can't connect my Zapier workflow to your platform,technical
TKT-1106,Scheduled tasks are not running at the set time,technical
TKT-1107,My login history shows suspicious activity,account
TKT-1108,How do I invite users with specific roles only?,account
TKT-1109,Do you have an API rate limit?,general
TKT-1110,Can I view my team's activity log?,account
TKT-1111,Do you offer training for new users?,general
TKT-1112,How do I change the primary admin email?,account
TKT-1113,Tax amount on invoice seems incorrect,billing
TKT-1114,I need confirmation that my refund was processed,billing
TKT-1115,What payment methods do you accept?,general
TKT-1116,Can I restrict which integrations team members can use?,account
TKT-1117,How do I configure email domain restrictions for signup?,account
TKT-1118,How do I enable audit logs for my workspace?,account
TKT-1119,I want to enable SAML SSO for my team,account
TKT-1120,How do I add a secondary billing contact?,billing
TKT-1121,My saved filters disappeared after update,technical
TKT-1122,"App shows error code E-4023, what does it mean?",technical
TKT-1123,Why was I charged an extra fee this month?,billing
TKT-1124,Charts are not rendering in the exported PDF,technical
TKT-1125,What is your data retention policy?,general
TKT-1126,My profile details are not saving after edit,account
TKT-1127,Google Drive integration shows authentication error,technical
TKT-1128,I get a timeout error when generating reports,technical
TKT-1129,API returns 500 error when I call the endpoint,technical
TKT-1130,Translations are broken after the latest update,technical
TKT-1131,Dropdown menus are not showing on Safari,technical
TKT-1132,Need invoice in my company name not personal,billing
TKT-1133,"Cannot create more than 10 projects, even on Pro plan",technical
TKT-1134,Can I restore a deleted project?,account
TKT-1135,How do I contact your sales team?,general
TKT-1136,Is my data stored on Indian servers?,general
TKT-1137,My free trial ended early and I was charged,billing
TKT-1138,How does your pricing scale for large teams?,general
TKT-1139,My account was auto-upgraded without my consent,account
TKT-1140,Single sign-on (SSO) is broken for our organization,technical
TKT-1141,"I can't reset my password, link expires immediately",technical
TKT-1142,Is there a student discount available?,general
TKT-1143,Transaction declined but money was deducted,billing
TKT-1144,My enterprise plan renewal price is different from quote,billing
TKT-1145,The print layout is completely broken,technical
TKT-1146,The email verification link is invalid,technical
TKT-1147,How do I add a backup admin in case of emergency?,account
TKT-1148,My bank shows a pending charge that I didn't make,billing
TKT-1149,The progress bar freezes at 99%,technical
TKT-1150,My subscription auto-renewed without notification,billing
TKT-1151,How do I manage API keys for my organization?,account
TKT-1152,How do I set up role-based access for my team?,account
TKT-1153,My payment keeps failing on checkout,billing
TKT-1154,Dark mode is not saving my preference,technical
TKT-1155,The iOS app crashes on iPhone 15,technical
TKT-1156,My API token stopped working after I regenerated it,technical
TKT-1157,Promo discount not reflected in my bill,billing
TKT-1158,Email notifications for mentions stopped working,technical
TKT-1159,What is the maximum file size I can upload?,general
TKT-1160,Is there a browser extension available?,general
TKT-1161,Session expires too quickly even with remember me checked,technical
TKT-1162,Do you offer multi-year discounts?,general
TKT-1163,My PayPal payment is stuck in pending,billing
TKT-1164,Do you have a public API?,general
TKT-1165,Database connection error appeared in my dashboard,technical
TKT-1166,How often do you release new features?,general
TKT-1167,I accidentally purchased the wrong plan,billing
TKT-1168,My credit card was charged twice for the same order,billing
TKT-1169,I cannot delete items from my list,technical
TKT-1170,What is the difference between Pro and Team plans?,general
TKT-1171,How do I change the account owner?,account
TKT-1172,My integration with Slack stopped working,technical
TKT-1173,I want to deactivate my account temporarily,account
TKT-1174,Do you support keyboard shortcuts?,general
TKT-1175,Can I self-host your application?,general
TKT-1176,The app crashes every time I try to upload a file,technical
TKT-1177,How do I set up guest access for external collaborators?,account
TKT-1178,What happens to my data if I cancel?,general
TKT-1179,Do you offer an on-premise deployment option?,general
TKT-1180,I need to change the timezone for my account,account
TKT-1181,Video playback is buffering constantly,technical
TKT-1182,Two-factor authentication is not sending OTP,technical
TKT-1183,I need to split my invoice between two departments,billing
TKT-1184,Invoice shows wrong billing address,billing
TKT-1185,I need a GST invoice for my purchase,billing
TKT-1186,"My account was hacked, please help me recover it",account
TKT-1187,Do you offer a free trial?,general
TKT-1188,Invoice is missing PO number,billing
TKT-1189,I want to transfer project ownership to someone else,account
TKT-1190,What is your cancellation policy?,general
TKT-1191,I need an annual invoice for tax purposes,billing
TKT-1192,Do you have a changelog or release notes?,general
TKT-1193,Can you waive the late payment fee?,billing
TKT-1194,The mobile app is very slow on Android,technical
TKT-1195,The notification emails are going to spam,technical
TKT-1196,Browser extension doesn't work on Firefox,technical
TKT-1197,Can multiple people work on the same document?,general
TKT-1198,My coupon code didn't apply any discount,billing
TKT-1199,I was charged in USD but I need INR billing,billing
TKT-1200,Do you offer a sandbox environment for testing?,general
